Sample 0: True Label: grab_F, Predicted: grab_F 
 Sample 1: True Label: grab_F, Predicted: grab_F 
 Sample 2: True Label: grab_F, Predicted: grab_F 
 Sample 3: True Label: grab_F, Predicted: grab_F 
 Sample 4: True Label: grab_F, Predicted: grab_F 
 Sample 5: True Label: grab_F, Predicted: grab_F 
 Sample 6: True Label: grab_F, Predicted: grab_F 
 Sample 7: True Label: grab_F, Predicted: grab_F 
 Sample 8: True Label: grab_F, Predicted: grab_F 
 Sample 9: True Label: grab_F, Predicted: grab_F 
 Sample 10: True Label: grab_F, Predicted: grab_F 
 Sample 11: True Label: grab_F, Predicted: grab_F 
 Sample 12: True Label: grab_F, Predicted: grab_F 
 Sample 13: True Label: grab_F, Predicted: grab_H 
 Sample 14: True Label: grab_F, Predicted: grab_F 
 Sample 15: True Label: grab_F, Predicted: grab_F 
 Sample 16: True Label: grab_F, Predicted: grab_F 
 Sample 17: True Label: grab_F, Predicted: grab_H 
 Sample 18: True Label: grab_F, Predicted: grab_F 
 Sample 19: True Label: grab_F, Predicted: tap_F 
 Sample 20: True Label: grab_F, Predicted: rotation_cw_F 
 Sample 21: True Label: grab_F, Predicted: grab_F 
 Sample 22: True Label: grab_F, Predicted: grab_F 
 Sample 23: True Label: grab_F, Predicted: grab_F 
 Sample 24: True Label: grab_F, Predicted: grab_F 
 Sample 25: True Label: grab_F, Predicted: grab_F 
 Sample 26: True Label: grab_F, Predicted: grab_F 
 Sample 27: True Label: grab_F, Predicted: grab_F 
 Sample 28: True Label: grab_H, Predicted: grab_H 
 Sample 29: True Label: grab_H, Predicted: grab_H 
 Sample 30: True Label: grab_H, Predicted: grab_H 
 Sample 31: True Label: grab_H, Predicted: grab_H 
 Sample 32: True Label: grab_H, Predicted: grab_H 
 Sample 33: True Label: grab_H, Predicted: grab_H 
 Sample 34: True Label: grab_H, Predicted: grab_H 
 Sample 35: True Label: grab_H, Predicted: grab_H 
 Sample 36: True Label: grab_H, Predicted: grab_H 
 Sample 37: True Label: grab_H, Predicted: grab_H 
 Sample 38: True Label: grab_H, Predicted: grab_H 
 Sample 39: True Label: grab_H, Predicted: grab_H 
 Sample 40: True Label: grab_H, Predicted: grab_H 
 Sample 41: True Label: grab_H, Predicted: grab_H 
 Sample 42: True Label: grab_H, Predicted: grab_H 
 Sample 43: True Label: grab_H, Predicted: grab_H 
 Sample 44: True Label: grab_H, Predicted: grab_H 
 Sample 45: True Label: grab_H, Predicted: grab_H 
 Sample 46: True Label: grab_H, Predicted: grab_H 
 Sample 47: True Label: grab_H, Predicted: grab_H 
 Sample 48: True Label: grab_H, Predicted: grab_H 
 Sample 49: True Label: grab_H, Predicted: grab_H 
 Sample 50: True Label: grab_H, Predicted: grab_H 
 Sample 51: True Label: grab_H, Predicted: grab_H 
 Sample 52: True Label: grab_H, Predicted: grab_H 
 Sample 53: True Label: grab_H, Predicted: rotation_cw_H 
 Sample 54: True Label: grab_H, Predicted: grab_H 
 Sample 55: True Label: grab_H, Predicted: grab_H 
 Sample 56: True Label: grab_H, Predicted: grab_H 
 Sample 57: True Label: grab_H, Predicted: rotation_cw_H 
 Sample 58: True Label: expand_F, Predicted: expand_F 
 Sample 59: True Label: expand_F, Predicted: swipe_down_F 
 Sample 60: True Label: expand_F, Predicted: expand_F 
 Sample 61: True Label: expand_F, Predicted: expand_F 
 Sample 62: True Label: expand_F, Predicted: grab_F 
 Sample 63: True Label: expand_F, Predicted: expand_F 
 Sample 64: True Label: expand_F, Predicted: expand_F 
 Sample 65: True Label: expand_F, Predicted: expand_F 
 Sample 66: True Label: expand_F, Predicted: expand_F 
 Sample 67: True Label: expand_F, Predicted: expand_H 
 Sample 68: True Label: expand_F, Predicted: grab_H 
 Sample 69: True Label: expand_F, Predicted: expand_F 
 Sample 70: True Label: expand_F, Predicted: rotation_cw_F 
 Sample 71: True Label: expand_F, Predicted: rotation_cw_F 
 Sample 72: True Label: expand_F, Predicted: expand_F 
 Sample 73: True Label: expand_F, Predicted: rotation_ccw_F 
 Sample 74: True Label: expand_F, Predicted: swipe_right_F 
 Sample 75: True Label: expand_F, Predicted: expand_F 
 Sample 76: True Label: expand_F, Predicted: expand_F 
 Sample 77: True Label: expand_F, Predicted: expand_F 
 Sample 78: True Label: expand_F, Predicted: expand_F 
 Sample 79: True Label: expand_F, Predicted: expand_F 
 Sample 80: True Label: expand_F, Predicted: grab_F 
 Sample 81: True Label: expand_F, Predicted: expand_F 
 Sample 82: True Label: expand_F, Predicted: expand_F 
 Sample 83: True Label: expand_F, Predicted: expand_F 
 Sample 84: True Label: expand_F, Predicted: expand_F 
 Sample 85: True Label: expand_F, Predicted: expand_F 
 Sample 86: True Label: expand_F, Predicted: expand_F 
 Sample 87: True Label: expand_F, Predicted: expand_F 
 Sample 88: True Label: expand_F, Predicted: pinch_F 
 Sample 89: True Label: expand_F, Predicted: expand_F 
 Sample 90: True Label: expand_F, Predicted: expand_F 
 Sample 91: True Label: expand_H, Predicted: swipe_down_H 
 Sample 92: True Label: expand_H, Predicted: expand_H 
 Sample 93: True Label: expand_H, Predicted: expand_H 
 Sample 94: True Label: expand_H, Predicted: expand_H 
 Sample 95: True Label: expand_H, Predicted: expand_H 
 Sample 96: True Label: expand_H, Predicted: expand_H 
 Sample 97: True Label: expand_H, Predicted: expand_H 
 Sample 98: True Label: expand_H, Predicted: expand_H 
 Sample 99: True Label: expand_H, Predicted: expand_H 
 Sample 100: True Label: expand_H, Predicted: rotation_ccw_H 
 Sample 101: True Label: expand_H, Predicted: expand_H 
 Sample 102: True Label: expand_H, Predicted: expand_H 
 Sample 103: True Label: expand_H, Predicted: expand_H 
 Sample 104: True Label: expand_H, Predicted: expand_H 
 Sample 105: True Label: expand_H, Predicted: expand_H 
 Sample 106: True Label: expand_H, Predicted: expand_H 
 Sample 107: True Label: expand_H, Predicted: expand_H 
 Sample 108: True Label: expand_H, Predicted: expand_H 
 Sample 109: True Label: expand_H, Predicted: expand_H 
 Sample 110: True Label: expand_H, Predicted: expand_H 
 Sample 111: True Label: expand_H, Predicted: expand_H 
 Sample 112: True Label: expand_H, Predicted: expand_H 
 Sample 113: True Label: expand_H, Predicted: expand_H 
 Sample 114: True Label: expand_H, Predicted: expand_H 
 Sample 115: True Label: expand_H, Predicted: expand_H 
 Sample 116: True Label: expand_H, Predicted: expand_H 
 Sample 117: True Label: expand_H, Predicted: expand_H 
 Sample 118: True Label: expand_H, Predicted: expand_H 
 Sample 119: True Label: pinch_F, Predicted: pinch_F 
 Sample 120: True Label: pinch_F, Predicted: pinch_F 
 Sample 121: True Label: pinch_F, Predicted: pinch_F 
 Sample 122: True Label: pinch_F, Predicted: pinch_F 
 Sample 123: True Label: pinch_F, Predicted: pinch_F 
 Sample 124: True Label: pinch_F, Predicted: pinch_H 
 Sample 125: True Label: pinch_F, Predicted: pinch_H 
 Sample 126: True Label: pinch_F, Predicted: pinch_H 
 Sample 127: True Label: pinch_F, Predicted: pinch_F 
 Sample 128: True Label: pinch_F, Predicted: pinch_F 
 Sample 129: True Label: pinch_F, Predicted: pinch_F 
 Sample 130: True Label: pinch_F, Predicted: pinch_F 
 Sample 131: True Label: pinch_F, Predicted: pinch_F 
 Sample 132: True Label: pinch_F, Predicted: pinch_F 
 Sample 133: True Label: pinch_F, Predicted: pinch_F 
 Sample 134: True Label: pinch_F, Predicted: pinch_F 
 Sample 135: True Label: pinch_F, Predicted: pinch_F 
 Sample 136: True Label: pinch_F, Predicted: pinch_F 
 Sample 137: True Label: pinch_F, Predicted: pinch_F 
 Sample 138: True Label: pinch_F, Predicted: pinch_F 
 Sample 139: True Label: pinch_F, Predicted: pinch_F 
 Sample 140: True Label: pinch_F, Predicted: pinch_F 
 Sample 141: True Label: pinch_F, Predicted: pinch_F 
 Sample 142: True Label: pinch_F, Predicted: pinch_F 
 Sample 143: True Label: pinch_F, Predicted: pinch_F 
 Sample 144: True Label: pinch_F, Predicted: pinch_F 
 Sample 145: True Label: pinch_F, Predicted: pinch_F 
 Sample 146: True Label: pinch_H, Predicted: pinch_H 
